ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
0,00-0000,All Occupations,total,"142,549,250"
1,11-0000,Management Occupations,major,"7,280,330"
2,11-1000,Top Executives,minor,"2,473,740"
3,11-1010,Chief Executives,broad,"210,160"
4,11-1011,Chief Executives,detailed,"210,160"
5,11-1020,General and Operations Managers,broad,"2,212,200"
6,11-1021,General and Operations Managers,detailed,"2,212,200"
7,11-1030,Legislators,broad,"51,380"
8,11-1031,Legislators,detailed,"51,380"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"685,780"
10,11-2010,Advertising and Promotions Managers,broad,"28,100"
11,11-2011,Advertising and Promotions Managers,detailed,"28,100"
12,11-2020,Marketing and Sales Managers,broad,"590,380"
13,11-2021,Marketing Managers,detailed,"218,970"
14,11-2022,Sales Managers,detailed,"371,410"
15,11-2030,Public Relations and Fundraising Managers,broad,"67,300"
16,11-2031,Public Relations and Fundraising Managers,detailed,"67,300"
17,11-3000,Operations Specialties Managers,minor,"1,752,130"
18,11-3010,Administrative Services Managers,broad,"270,100"
19,11-3011,Administrative Services Managers,detailed,"270,100"
20,11-3020,Computer and Information Systems Managers,broad,"365,690"
21,11-3021,Computer and Information Systems Managers,detailed,"365,690"
22,11-3030,Financial Managers,broad,"569,380"
23,11-3031,Financial Managers,detailed,"569,380"
24,11-3050,Industrial Production Managers,broad,"171,520"
25,11-3051,Industrial Production Managers,detailed,"171,520"
26,11-3060,Purchasing Managers,broad,"70,430"
27,11-3061,Purchasing Managers,detailed,"70,430"
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,"118,680"
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"118,680"
30,11-3110,Compensation and Benefits Managers,broad,"15,520"
31,11-3111,Compensation and Benefits Managers,detailed,"15,520"
32,11-3120,Human Resources Managers,broad,"136,310"
33,11-3121,Human Resources Managers,detailed,"136,310"
34,11-3130,Training and Development Managers,broad,"34,500"
35,11-3131,Training and Development Managers,detailed,"34,500"
36,11-9000,Other Management Occupations,minor,"2,368,680"
37,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"4,610"
38,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"4,610"
39,11-9020,Construction Managers,broad,"263,480"
40,11-9021,Construction Managers,detailed,"263,480"
41,11-9030,Education Administrators,broad,"477,750"
42,11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,"49,130"
43,11-9032,"Education Administrators, Elementary and Secondary School",detailed,"250,280"
44,11-9033,"Education Administrators, Postsecondary",detailed,"142,160"
45,11-9039,"Education Administrators, All Other",detailed,"36,190"
46,11-9040,Architectural and Engineering Managers,broad,"179,990"
47,11-9041,Architectural and Engineering Managers,detailed,"179,990"
48,11-9050,Food Service Managers,broad,"208,110"
49,11-9051,Food Service Managers,detailed,"208,110"
50,11-9060,Funeral Service Managers,broad,"8,350"
51,11-9061,Funeral Service Managers,detailed,"8,350"
52,11-9070,Gaming Managers,broad,"4,420"
53,11-9071,Gaming Managers,detailed,"4,420"
54,11-9080,Lodging Managers,broad,"36,610"
55,11-9081,Lodging Managers,detailed,"36,610"
56,11-9110,Medical and Health Services Managers,broad,"346,980"
57,11-9111,Medical and Health Services Managers,detailed,"346,980"
58,11-9120,Natural Sciences Managers,broad,"56,210"
59,11-9121,Natural Sciences Managers,detailed,"56,210"
60,11-9130,Postmasters and Mail Superintendents,broad,"13,960"
61,11-9131,Postmasters and Mail Superintendents,detailed,"13,960"
62,11-9140,"Property, Real Estate, and Community Association Managers",broad,"186,720"
63,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"186,720"
64,11-9150,Social and Community Service Managers,broad,"141,830"
65,11-9151,Social and Community Service Managers,detailed,"141,830"
66,11-9160,Emergency Management Directors,broad,"9,560"
67,11-9161,Emergency Management Directors,detailed,"9,560"
68,11-9190,Miscellaneous Managers,broad,"430,120"
69,11-9199,"Managers, All Other",detailed,"430,120"
70,13-0000,Business and Financial Operations Occupations,major,"7,472,750"
71,13-1000,Business Operations Specialists,minor,"4,811,530"
72,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"15,450"
73,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"15,450"
74,13-1020,Buyers and Purchasing Agents,detailed,"413,540"
75,13-1020,Buyers and Purchasing Agents,broad,"413,540"
76,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"298,170"
77,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"282,030"
78,13-1032,"Insurance Appraisers, Auto Damage",detailed,"16,150"
79,13-1040,Compliance Officers,broad,"287,130"
80,13-1041,Compliance Officers,detailed,"287,130"
81,13-1050,Cost Estimators,broad,"210,900"
82,13-1051,Cost Estimators,detailed,"210,900"
83,13-1070,Human Resources Workers,broad,"633,250"
84,13-1071,Human Resources Specialists,detailed,"553,950"
85,13-1074,Farm Labor Contractors,detailed,780
86,13-1075,Labor Relations Specialists,detailed,"78,510"
87,13-1080,Logisticians,broad,"159,800"
88,13-1081,Logisticians,detailed,"159,800"
89,13-1110,Management Analysts,broad,"659,200"
90,13-1111,Management Analysts,detailed,"659,200"
91,13-1120,"Meeting, Convention, and Event Planners",broad,"102,420"
92,13-1121,"Meeting, Convention, and Event Planners",detailed,"102,420"
93,13-1130,Fundraisers,broad,"72,920"
94,13-1131,Fundraisers,detailed,"72,920"
95,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"80,530"
96,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"80,530"
97,13-1150,Training and Development Specialists,broad,"280,340"
98,13-1151,Training and Development Specialists,detailed,"280,340"
99,13-1160,Market Research Analysts and Marketing Specialists,broad,"596,450"
100,13-1161,Market Research Analysts and Marketing Specialists,detailed,"596,450"
101,13-1190,Miscellaneous Business Operations Specialists,broad,"1,001,420"
102,13-1199,"Business Operations Specialists, All Other",detailed,"1,001,420"
103,13-2000,Financial Specialists,minor,"2,661,230"
104,13-2010,Accountants and Auditors,broad,"1,241,000"
105,13-2011,Accountants and Auditors,detailed,"1,241,000"
106,13-2020,Appraisers and Assessors of Real Estate,broad,"58,880"
107,13-2021,Appraisers and Assessors of Real Estate,detailed,"58,880"
108,13-2030,Budget Analysts,broad,"54,550"
109,13-2031,Budget Analysts,detailed,"54,550"
110,13-2040,Credit Analysts,broad,"74,850"
111,13-2041,Credit Analysts,detailed,"74,850"
112,13-2050,Financial Analysts and Advisors,broad,"584,940"
113,13-2051,Financial Analysts,detailed,"294,110"
114,13-2052,Personal Financial Advisors,detailed,"200,920"
115,13-2053,Insurance Underwriters,detailed,"89,910"
116,13-2060,Financial Examiners,broad,"52,580"
117,13-2061,Financial Examiners,detailed,"52,580"
118,13-2070,Credit Counselors and Loan Officers,broad,"343,150"
119,13-2071,Credit Counselors,detailed,"35,900"
120,13-2072,Loan Officers,detailed,"307,240"
121,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"125,380"
122,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"56,660"
123,13-2082,Tax Preparers,detailed,"68,720"
124,13-2090,Miscellaneous Financial Specialists,broad,"125,900"
125,13-2099,"Financial Specialists, All Other",detailed,"125,900"
126,15-0000,Computer and Mathematical Occupations,major,"4,261,460"
127,15-1100,Computer Occupations,minor,"4,094,930"
128,15-1110,Computer and Information Research Scientists,broad,"27,920"
129,15-1111,Computer and Information Research Scientists,detailed,"27,920"
130,15-1120,Computer and Information Analysts,broad,"687,210"
131,15-1121,Computer Systems Analysts,detailed,"581,960"
132,15-1122,Information Security Analysts,detailed,"105,250"
133,15-1130,Software Developers and Programmers,broad,"1,617,400"
134,15-1131,Computer Programmers,detailed,"247,690"
135,15-1132,"Software Developers, Applications",detailed,"849,230"
136,15-1133,"Software Developers, Systems Software",detailed,"394,590"
137,15-1134,Web Developers,detailed,"125,890"
138,15-1140,Database and Systems Administrators and Network Architects,broad,"646,570"
139,15-1141,Database Administrators,detailed,"113,690"
140,15-1142,Network and Computer Systems Administrators,detailed,"375,040"
141,15-1143,Computer Network Architects,detailed,"157,830"
142,15-1150,Computer Support Specialists,broad,"800,010"
143,15-1151,Computer User Support Specialists,detailed,"613,780"
144,15-1152,Computer Network Support Specialists,detailed,"186,230"
145,15-1190,Miscellaneous Computer Occupations,broad,"315,830"
146,15-1199,"Computer Occupations, All Other",detailed,"315,830"
147,15-2000,Mathematical Science Occupations,minor,"166,530"
148,15-2010,Actuaries,broad,"19,210"
149,15-2011,Actuaries,detailed,"19,210"
150,15-2020,Mathematicians,broad,"2,730"
151,15-2021,Mathematicians,detailed,"2,730"
152,15-2030,Operations Research Analysts,broad,"106,050"
153,15-2031,Operations Research Analysts,detailed,"106,050"
154,15-2040,Statisticians,broad,"36,540"
155,15-2041,Statisticians,detailed,"36,540"
156,15-2090,Miscellaneous Mathematical Science Occupations,detailed,"2,000"
157,15-2090,Miscellaneous Mathematical Science Occupations,broad,"2,000"
158,17-0000,Architecture and Engineering Occupations,major,"2,516,780"
159,17-1000,"Architects, Surveyors, and Cartographers",minor,"177,030"
160,17-1010,"Architects, Except Naval",broad,"122,160"
161,17-1011,"Architects, Except Landscape and Naval",detailed,"103,110"
162,17-1012,Landscape Architects,detailed,"19,040"
163,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"54,870"
164,17-1021,Cartographers and Photogrammetrists,detailed,"11,440"
165,17-1022,Surveyors,detailed,"43,430"
166,17-2000,Engineers,minor,"1,665,220"
167,17-2010,Aerospace Engineers,broad,"65,760"
168,17-2011,Aerospace Engineers,detailed,"65,760"
169,17-2020,Agricultural Engineers,broad,"1,770"
170,17-2021,Agricultural Engineers,detailed,"1,770"
171,17-2030,Biomedical Engineers,broad,"20,100"
172,17-2031,Biomedical Engineers,detailed,"20,100"
173,17-2040,Chemical Engineers,broad,"33,500"
174,17-2041,Chemical Engineers,detailed,"33,500"
175,17-2050,Civil Engineers,broad,"298,910"
176,17-2051,Civil Engineers,detailed,"298,910"
177,17-2060,Computer Hardware Engineers,broad,"66,770"
178,17-2061,Computer Hardware Engineers,detailed,"66,770"
179,17-2070,Electrical and Electronics Engineers,broad,"318,300"
180,17-2071,Electrical Engineers,detailed,"183,370"
181,17-2072,"Electronics Engineers, Except Computer",detailed,"134,930"
182,17-2080,Environmental Engineers,broad,"52,640"
183,17-2081,Environmental Engineers,detailed,"52,640"
184,17-2110,"Industrial Engineers, Including Health and Safety",broad,"291,660"
185,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,"26,130"
186,17-2112,Industrial Engineers,detailed,"265,520"
187,17-2120,Marine Engineers and Naval Architects,broad,"10,960"
188,17-2121,Marine Engineers and Naval Architects,detailed,"10,960"
189,17-2130,Materials Engineers,broad,"27,200"
190,17-2131,Materials Engineers,detailed,"27,200"
191,17-2140,Mechanical Engineers,broad,"291,290"
192,17-2141,Mechanical Engineers,detailed,"291,290"
193,17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",broad,"6,150"
194,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",detailed,"6,150"
195,17-2160,Nuclear Engineers,broad,"16,700"
196,17-2161,Nuclear Engineers,detailed,"16,700"
197,17-2170,Petroleum Engineers,broad,"32,010"
198,17-2171,Petroleum Engineers,detailed,"32,010"
199,17-2190,Miscellaneous Engineers,broad,"131,500"
200,17-2199,"Engineers, All Other",detailed,"131,500"
201,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",minor,"674,540"
202,17-3010,Drafters,broad,"195,510"
203,17-3011,Architectural and Civil Drafters,detailed,"95,960"
204,17-3012,Electrical and Electronics Drafters,detailed,"26,060"
205,17-3013,Mechanical Drafters,detailed,"58,190"
206,17-3019,"Drafters, All Other",detailed,"15,300"
207,17-3020,"Engineering Technicians, Except Drafters",broad,"427,140"
208,17-3021,Aerospace Engineering and Operations Technicians,detailed,"11,710"
209,17-3022,Civil Engineering Technicians,detailed,"71,430"
210,17-3023,Electrical and Electronics Engineering Technicians,detailed,"128,320"
211,17-3024,Electro-Mechanical Technicians,detailed,"13,050"
212,17-3025,Environmental Engineering Technicians,detailed,"17,590"
213,17-3026,Industrial Engineering Technicians,detailed,"65,020"
214,17-3027,Mechanical Engineering Technicians,detailed,"43,390"
215,17-3029,"Engineering Technicians, Except Drafters, All Other",detailed,"76,630"
216,17-3030,Surveying and Mapping Technicians,broad,"51,890"
217,17-3031,Surveying and Mapping Technicians,detailed,"51,890"
218,19-0000,"Life, Physical, and Social Science Occupations",major,"1,148,300"
219,19-1000,Life Scientists,minor,"292,310"
220,19-1010,Agricultural and Food Scientists,broad,"31,750"
221,19-1011,Animal Scientists,detailed,"2,550"
222,19-1012,Food Scientists and Technologists,detailed,"15,020"
223,19-1013,Soil and Plant Scientists,detailed,"14,180"
224,19-1020,Biological Scientists,broad,"104,550"
225,19-1021,Biochemists and Biophysicists,detailed,"27,380"
226,19-1022,Microbiologists,detailed,"21,870"
227,19-1023,Zoologists and Wildlife Biologists,detailed,"17,710"
228,19-1029,"Biological Scientists, All Other",detailed,"37,590"
229,19-1030,Conservation Scientists and Foresters,broad,"30,340"
230,19-1031,Conservation Scientists,detailed,"22,040"
231,19-1032,Foresters,detailed,"8,300"
232,19-1040,Medical Scientists,broad,"118,560"
233,19-1041,Epidemiologists,detailed,"6,870"
234,19-1042,"Medical Scientists, Except Epidemiologists",detailed,"111,690"
235,19-1090,Miscellaneous Life Scientists,broad,"7,120"
236,19-1099,"Life Scientists, All Other",detailed,"7,120"
237,19-2000,Physical Scientists,minor,"253,660"
238,19-2010,Astronomers and Physicists,broad,"18,720"
239,19-2011,Astronomers,detailed,"2,020"
240,19-2012,Physicists,detailed,"16,710"
241,19-2020,Atmospheric and Space Scientists,broad,"8,940"
242,19-2021,Atmospheric and Space Scientists,detailed,"8,940"
243,19-2030,Chemists and Materials Scientists,broad,"91,880"
244,19-2031,Chemists,detailed,"84,400"
245,19-2032,Materials Scientists,detailed,"7,470"
246,19-2040,Environmental Scientists and Geoscientists,broad,"116,790"
247,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"81,920"
248,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"28,520"
249,19-2043,Hydrologists,detailed,"6,350"
250,19-2090,Miscellaneous Physical Scientists,broad,"17,320"
251,19-2099,"Physical Scientists, All Other",detailed,"17,320"
252,19-3000,Social Scientists and Related Workers,minor,"243,150"
253,19-3010,Economists,broad,"19,550"
254,19-3011,Economists,detailed,"19,550"
255,19-3020,Survey Researchers,broad,"11,270"
256,19-3022,Survey Researchers,detailed,"11,270"
257,19-3030,Psychologists,broad,"121,870"
258,19-3031,"Clinical, Counseling, and School Psychologists",detailed,"108,060"
259,19-3032,Industrial-Organizational Psychologists,detailed,920
260,19-3039,"Psychologists, All Other",detailed,"12,880"
261,19-3040,Sociologists,broad,"2,770"
262,19-3041,Sociologists,detailed,"2,770"
263,19-3050,Urban and Regional Planners,broad,"35,310"
264,19-3051,Urban and Regional Planners,detailed,"35,310"
265,19-3090,Miscellaneous Social Scientists and Related Workers,broad,"52,380"
266,19-3091,Anthropologists and Archeologists,detailed,"6,120"
267,19-3092,Geographers,detailed,"1,400"
268,19-3093,Historians,detailed,"3,060"
269,19-3094,Political Scientists,detailed,"6,320"
270,19-3099,"Social Scientists and Related Workers, All Other",detailed,"35,490"
271,19-4000,"Life, Physical, and Social Science Technicians",minor,"359,180"
272,19-4010,Agricultural and Food Science Technicians,broad,"21,120"
273,19-4011,Agricultural and Food Science Technicians,detailed,"21,120"
274,19-4020,Biological Technicians,broad,"74,980"
275,19-4021,Biological Technicians,detailed,"74,980"
276,19-4030,Chemical Technicians,broad,"64,550"
277,19-4031,Chemical Technicians,detailed,"64,550"
278,19-4040,Geological and Petroleum Technicians,broad,"14,820"
279,19-4041,Geological and Petroleum Technicians,detailed,"14,820"
280,19-4050,Nuclear Technicians,broad,"6,850"
281,19-4051,Nuclear Technicians,detailed,"6,850"
282,19-4060,Social Science Research Assistants,broad,"31,500"
283,19-4061,Social Science Research Assistants,detailed,"31,500"
