OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,total,"139,099,570"
11-0000,Management Occupations,major,"7,947,300"
11-1000,Top Executives,minor,"2,601,070"
11-1010,Chief Executives,broad,"202,360"
11-1011,Chief Executives,detailed,"202,360"
11-1020,General and Operations Managers,broad,"2,347,420"
11-1021,General and Operations Managers,detailed,"2,347,420"
11-1030,Legislators,broad,"51,290"
11-1031,Legislators,detailed,"51,290"
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"763,970"
11-2010,Advertising and Promotions Managers,broad,"22,490"
11-2011,Advertising and Promotions Managers,detailed,"22,490"
11-2020,Marketing and Sales Managers,broad,"660,380"
11-2021,Marketing Managers,detailed,"270,200"
11-2022,Sales Managers,detailed,"390,170"
11-2030,Public Relations and Fundraising Managers,broad,"81,110"
11-2030,Public Relations and Fundraising Managers,detailed,"81,110"
11-3000,Operations Specialties Managers,minor,"2,012,370"
11-3010,Administrative Services and Facilities Managers,broad,"307,620"
11-3010,Administrative Services and Facilities Managers,detailed,"307,620"
11-3020,Computer and Information Systems Managers,broad,"457,290"
11-3021,Computer and Information Systems Managers,detailed,"457,290"
11-3030,Financial Managers,broad,"653,080"
11-3031,Financial Managers,detailed,"653,080"
11-3050,Industrial Production Managers,broad,"179,570"
11-3051,Industrial Production Managers,detailed,"179,570"
11-3060,Purchasing Managers,broad,"70,960"
11-3061,Purchasing Managers,detailed,"70,960"
11-3070,"Transportation, Storage, and Distribution Managers",broad,"132,210"
11-3071,"Transportation, Storage, and Distribution Managers",detailed,"132,210"
11-3110,Compensation and Benefits Managers,broad,"16,340"
11-3111,Compensation and Benefits Managers,detailed,"16,340"
11-3120,Human Resources Managers,broad,"156,600"
11-3121,Human Resources Managers,detailed,"156,600"
11-3130,Training and Development Managers,broad,"38,710"
11-3131,Training and Development Managers,detailed,"38,710"
11-9000,Other Management Occupations,minor,"2,569,880"
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"5,670"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"5,670"
11-9020,Construction Managers,broad,"285,640"
11-9021,Construction Managers,detailed,"285,640"
11-9030,Education and Childcare Administrators,broad,"493,350"
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,"46,410"
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,"262,480"
11-9033,"Education Administrators, Postsecondary",detailed,"140,880"
11-9039,"Education Administrators, All Other",detailed,"43,580"
11-9040,Architectural and Engineering Managers,broad,"195,900"
11-9041,Architectural and Engineering Managers,detailed,"195,900"
11-9050,Food Service Managers,broad,"197,010"
11-9051,Food Service Managers,detailed,"197,010"
11-9071,Gambling Managers,detailed,"3,240"
11-9080,Lodging Managers,broad,"31,790"
11-9081,Lodging Managers,detailed,"31,790"
11-9110,Medical and Health Services Managers,broad,"402,540"
11-9111,Medical and Health Services Managers,detailed,"402,540"
11-9120,Natural Sciences Managers,broad,"75,870"
11-9121,Natural Sciences Managers,detailed,"75,870"
11-9130,Postmasters and Mail Superintendents,broad,"13,880"
11-9131,Postmasters and Mail Superintendents,detailed,"13,880"
11-9140,"Property, Real Estate, and Community Association Managers",broad,"219,800"
11-9141,"Property, Real Estate, and Community Association Managers",detailed,"219,800"
11-9150,Social and Community Service Managers,broad,"155,800"
11-9151,Social and Community Service Managers,detailed,"155,800"
11-9160,Emergency Management Directors,broad,"10,210"
11-9161,Emergency Management Directors,detailed,"10,210"
11-9171,Funeral Home Managers,detailed,"10,010"
11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,"469,160"
13-0000,Business and Financial Operations Occupations,major,"8,387,490"
13-1000,Business Operations Specialists,minor,"5,632,020"
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"16,240"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"16,240"
13-1020,Buyers and Purchasing Agents,broad,"419,920"
13-1020,Buyers and Purchasing Agents,detailed,"419,920"
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"300,380"
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"287,150"
13-1032,"Insurance Appraisers, Auto Damage",detailed,"13,220"
13-1040,Compliance Officers,broad,"327,360"
13-1041,Compliance Officers,detailed,"327,360"
13-1050,Cost Estimators,broad,"199,360"
13-1051,Cost Estimators,detailed,"199,360"
13-1070,Human Resources Workers,broad,"718,120"
13-1071,Human Resources Specialists,detailed,"647,810"
13-1074,Farm Labor Contractors,detailed,**
13-1075,Labor Relations Specialists,detailed,"70,050"
13-1081,Logisticians,detailed,"184,230"
13-1110,Management Analysts,broad,"734,000"
13-1111,Management Analysts,detailed,"734,000"
13-1120,"Meeting, Convention, and Event Planners",broad,"109,800"
13-1121,"Meeting, Convention, and Event Planners",detailed,"109,800"
13-1130,Fundraisers,broad,"82,140"
13-1131,Fundraisers,detailed,"82,140"
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"87,870"
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"87,870"
13-1150,Training and Development Specialists,broad,"318,040"
13-1151,Training and Development Specialists,detailed,"318,040"
13-1160,Market Research Analysts and Marketing Specialists,broad,"690,160"
13-1161,Market Research Analysts and Marketing Specialists,detailed,"690,160"
13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,"1,444,420"
13-2000,Financial Specialists,minor,"2,755,470"
13-2010,Accountants and Auditors,broad,"1,274,620"
13-2011,Accountants and Auditors,detailed,"1,274,620"
13-2020,Property Appraisers and Assessors,broad,"55,990"
13-2020,Property Appraisers and Assessors,detailed,"55,990"
13-2030,Budget Analysts,broad,"49,260"
13-2031,Budget Analysts,detailed,"49,260"
13-2040,Credit Analysts,broad,"72,090"
13-2041,Credit Analysts,detailed,"72,090"
13-2052,Personal Financial Advisors,detailed,"218,050"
13-2053,Insurance Underwriters,detailed,"101,790"
13-2060,Financial Examiners,broad,"68,210"
13-2061,Financial Examiners,detailed,"68,210"
13-2070,Credit Counselors and Loan Officers,broad,"339,470"
13-2071,Credit Counselors,detailed,"30,770"
13-2072,Loan Officers,detailed,"308,700"
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"115,750"
13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"53,150"
13-2082,Tax Preparers,detailed,"62,600"
13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,"460,250"
15-0000,Computer and Mathematical Occupations,major,"4,587,700"
15-1200,Computer Occupations,minor,"4,368,000"
15-1210,Computer and Information Analysts,broad,"712,460"
15-1211,Computer Systems Analysts,detailed,"574,450"
15-1212,Information Security Analysts,detailed,"138,000"
15-1220,Computer and Information Research Scientists,broad,"30,220"
