OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
00-0000,All Occupations,total,"151,853,870"
11-0000,Management Occupations,major,"10,495,770"
11-1000,Top Executives,minor,"3,751,510"
11-1010,Chief Executives,broad,"211,230"
11-1011,Chief Executives,detailed,"211,230"
11-1020,General and Operations Managers,broad,"3,507,810"
11-1021,General and Operations Managers,detailed,"3,507,810"
11-1030,Legislators,broad,"32,460"
11-1031,Legislators,detailed,"32,460"
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"1,070,030"
11-2010,Advertising and Promotions Managers,broad,"20,630"
11-2011,Advertising and Promotions Managers,detailed,"20,630"
11-2020,Marketing and Sales Managers,broad,"944,820"
11-2021,Marketing Managers,detailed,"368,940"
11-2022,Sales Managers,detailed,"575,880"
11-2030,Public Relations and Fundraising Managers,broad,"104,570"
11-2032,Public Relations Managers,detailed,"72,760"
11-2033,Fundraising Managers,detailed,"31,810"
11-3000,Operations Specialties Managers,minor,"2,513,900"
11-3010,Administrative Services and Facilities Managers,broad,"373,920"
11-3012,Administrative Services Managers,detailed,"242,520"
11-3013,Facilities Managers,detailed,"131,400"
11-3020,Computer and Information Systems Managers,broad,"592,600"
11-3021,Computer and Information Systems Managers,detailed,"592,600"
11-3030,Financial Managers,broad,"787,340"
11-3031,Financial Managers,detailed,"787,340"
11-3050,Industrial Production Managers,broad,"222,890"
11-3051,Industrial Production Managers,detailed,"222,890"
11-3060,Purchasing Managers,broad,"77,530"
11-3061,Purchasing Managers,detailed,"77,530"
11-3070,"Transportation, Storage, and Distribution Managers",broad,"198,780"
11-3071,"Transportation, Storage, and Distribution Managers",detailed,"198,780"
11-3110,Compensation and Benefits Managers,broad,"18,690"
11-3111,Compensation and Benefits Managers,detailed,"18,690"
11-3120,Human Resources Managers,broad,"200,600"
11-3121,Human Resources Managers,detailed,"200,600"
11-3130,Training and Development Managers,broad,"41,540"
11-3131,Training and Development Managers,detailed,"41,540"
11-9000,Other Management Occupations,minor,"3,160,340"
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"6,150"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"6,150"
11-9020,Construction Managers,broad,"329,190"
11-9021,Construction Managers,detailed,"329,190"
11-9030,Education and Childcare Administrators,broad,"584,630"
11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,"64,090"
11-9032,"Education Administrators, Kindergarten through Secondary",detailed,"302,580"
11-9033,"Education Administrators, Postsecondary",detailed,"167,270"
11-9039,"Education Administrators, All Other",detailed,"50,690"
11-9040,Architectural and Engineering Managers,broad,"207,800"
11-9041,Architectural and Engineering Managers,detailed,"207,800"
11-9050,Food Service Managers,broad,"246,070"
11-9051,Food Service Managers,detailed,"246,070"
11-9070,Entertainment and Recreation Managers,broad,"34,290"
11-9071,Gambling Managers,detailed,"4,590"
11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,"29,690"
11-9080,Lodging Managers,broad,"41,980"
11-9081,Lodging Managers,detailed,"41,980"
11-9110,Medical and Health Services Managers,broad,"515,100"
11-9111,Medical and Health Services Managers,detailed,"515,100"
11-9120,Natural Sciences Managers,broad,"96,520"
11-9121,Natural Sciences Managers,detailed,"96,520"
11-9130,Postmasters and Mail Superintendents,broad,"13,810"
11-9131,Postmasters and Mail Superintendents,detailed,"13,810"
11-9140,"Property, Real Estate, and Community Association Managers",broad,"284,120"
11-9141,"Property, Real Estate, and Community Association Managers",detailed,"284,120"
11-9150,Social and Community Service Managers,broad,"173,650"
11-9151,Social and Community Service Managers,detailed,"173,650"
11-9160,Emergency Management Directors,broad,"11,910"
11-9161,Emergency Management Directors,detailed,"11,910"
11-9170,Personal Service Managers,broad,"25,370"
11-9171,Funeral Home Managers,detailed,"14,200"
11-9179,"Personal Service Managers, All Other",detailed,"11,170"
11-9190,Miscellaneous Managers,broad,"589,750"
11-9199,"Managers, All Other",detailed,"589,750"
13-0000,Business and Financial Operations Occupations,major,"10,087,830"
13-1000,Business Operations Specialists,minor,"7,048,350"
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"12,870"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"12,870"
13-1020,Buyers and Purchasing Agents,broad,"477,980"
13-1020,Buyers and Purchasing Agents,detailed,"477,980"
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"302,450"
13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"293,780"
13-1032,"Insurance Appraisers, Auto Damage",detailed,"8,670"
13-1040,Compliance Officers,broad,"383,620"
13-1041,Compliance Officers,detailed,"383,620"
13-1050,Cost Estimators,broad,"220,970"
13-1051,Cost Estimators,detailed,"220,970"
13-1070,Human Resources Workers,broad,"959,230"
13-1071,Human Resources Specialists,detailed,"895,970"
13-1074,Farm Labor Contractors,detailed,460
13-1075,Labor Relations Specialists,detailed,"62,800"
13-1080,Logisticians and Project Management Specialists,broad,"1,176,100"
13-1081,Logisticians,detailed,"228,470"
13-1082,Project Management Specialists,detailed,"947,630"
13-1110,Management Analysts,broad,"838,140"
13-1111,Management Analysts,detailed,"838,140"
13-1120,"Meeting, Convention, and Event Planners",broad,"122,130"
13-1121,"Meeting, Convention, and Event Planners",detailed,"122,130"
13-1130,Fundraisers,broad,"101,730"
13-1131,Fundraisers,detailed,"101,730"
13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"99,850"
13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"99,850"
13-1150,Training and Development Specialists,broad,"403,480"
13-1151,Training and Development Specialists,detailed,"403,480"
13-1160,Market Research Analysts and Marketing Specialists,broad,"846,370"
13-1161,Market Research Analysts and Marketing Specialists,detailed,"846,370"
13-1190,Miscellaneous Business Operations Specialists,broad,"1,103,440"
13-1199,"Business Operations Specialists, All Other",detailed,"1,103,440"
13-2000,Financial Specialists,minor,"3,039,480"
13-2010,Accountants and Auditors,broad,"1,435,770"
13-2011,Accountants and Auditors,detailed,"1,435,770"
