ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
0,00-0000,All Occupations,total,"140,886,310"
1,11-0000,Management Occupations,major,"8,909,910"
2,11-1000,Top Executives,minor,"3,229,990"
3,11-1010,Chief Executives,broad,"200,480"
4,11-1011,Chief Executives,detailed,"200,480"
5,11-1020,General and Operations Managers,broad,"2,984,920"
6,11-1021,General and Operations Managers,detailed,"2,984,920"
7,11-1030,Legislators,broad,"44,590"
8,11-1031,Legislators,detailed,"44,590"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"838,050"
10,11-2010,Advertising and Promotions Managers,broad,"22,520"
11,11-2011,Advertising and Promotions Managers,detailed,"22,520"
12,11-2020,Marketing and Sales Managers,broad,"732,490"
13,11-2021,Marketing Managers,detailed,"278,690"
14,11-2022,Sales Managers,detailed,"453,800"
15,11-2030,Public Relations and Fundraising Managers,broad,"83,040"
16,11-2032,Public Relations Managers,detailed,"59,850"
17,11-2033,Fundraising Managers,detailed,"23,190"
18,11-3000,Operations Specialties Managers,minor,"2,116,020"
19,11-3010,Administrative Services and Facilities Managers,broad,"325,850"
20,11-3012,Administrative Services Managers,detailed,"224,620"
21,11-3013,Facilities Managers,detailed,"101,230"
22,11-3020,Computer and Information Systems Managers,broad,"485,190"
23,11-3021,Computer and Information Systems Managers,detailed,"485,190"
24,11-3030,Financial Managers,broad,"681,070"
25,11-3031,Financial Managers,detailed,"681,070"
26,11-3050,Industrial Production Managers,broad,"192,270"
27,11-3051,Industrial Production Managers,detailed,"192,270"
28,11-3060,Purchasing Managers,broad,"69,310"
29,11-3061,Purchasing Managers,detailed,"69,310"
30,11-3070,"Transportation, Storage, and Distribution Managers",broad,"144,640"
31,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"144,640"
32,11-3110,Compensation and Benefits Managers,broad,"15,330"
33,11-3111,Compensation and Benefits Managers,detailed,"15,330"
34,11-3120,Human Resources Managers,broad,"166,530"
35,11-3121,Human Resources Managers,detailed,"166,530"
36,11-3130,Training and Development Managers,broad,"35,830"
37,11-3131,Training and Development Managers,detailed,"35,830"
38,11-9000,Other Management Occupations,minor,"2,725,860"
39,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",broad,"5,220"
40,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"5,220"
41,11-9020,Construction Managers,broad,"284,750"
42,11-9021,Construction Managers,detailed,"284,750"
43,11-9030,Education and Childcare Administrators,broad,"537,100"
44,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,"56,430"
45,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,"274,710"
46,11-9033,"Education Administrators, Postsecondary",detailed,"155,990"
47,11-9039,"Education Administrators, All Other",detailed,"49,970"
48,11-9040,Architectural and Engineering Managers,broad,"187,100"
49,11-9041,Architectural and Engineering Managers,detailed,"187,100"
50,11-9050,Food Service Managers,broad,"210,680"
51,11-9051,Food Service Managers,detailed,"210,680"
52,11-9070,Entertainment and Recreation Managers,broad,"21,460"
53,11-9071,Gambling Managers,detailed,"3,660"
54,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,"17,800"
55,11-9080,Lodging Managers,broad,"35,920"
56,11-9081,Lodging Managers,detailed,"35,920"
57,11-9110,Medical and Health Services Managers,broad,"436,770"
58,11-9111,Medical and Health Services Managers,detailed,"436,770"
59,11-9120,Natural Sciences Managers,broad,"74,760"
60,11-9121,Natural Sciences Managers,detailed,"74,760"
61,11-9130,Postmasters and Mail Superintendents,broad,"12,750"
62,11-9131,Postmasters and Mail Superintendents,detailed,"12,750"
63,11-9140,"Property, Real Estate, and Community Association Managers",broad,"234,680"
64,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"234,680"
65,11-9150,Social and Community Service Managers,broad,"156,400"
66,11-9151,Social and Community Service Managers,detailed,"156,400"
67,11-9160,Emergency Management Directors,broad,"10,320"
68,11-9161,Emergency Management Directors,detailed,"10,320"
69,11-9170,Personal Service Managers,broad,"20,060"
70,11-9171,Funeral Home Managers,detailed,"12,710"
71,11-9179,"Personal Service Managers, All Other",detailed,"7,350"
72,11-9190,Miscellaneous Managers,broad,"497,890"
73,11-9199,"Managers, All Other",detailed,"497,890"
74,13-0000,Business and Financial Operations Occupations,major,"9,053,790"
75,13-1000,Business Operations Specialists,minor,"6,152,960"
76,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",broad,"12,480"
77,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,"12,480"
78,13-1020,Buyers and Purchasing Agents,broad,"439,020"
79,13-1020,Buyers and Purchasing Agents,detailed,"439,020"
80,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",broad,"289,580"
81,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"278,140"
82,13-1032,"Insurance Appraisers, Auto Damage",detailed,"11,430"
83,13-1040,Compliance Officers,broad,"334,340"
84,13-1041,Compliance Officers,detailed,"334,340"
85,13-1050,Cost Estimators,broad,"208,950"
86,13-1051,Cost Estimators,detailed,"208,950"
87,13-1070,Human Resources Workers,broad,"805,080"
88,13-1071,Human Resources Specialists,detailed,"740,830"
89,13-1074,Farm Labor Contractors,detailed,440
90,13-1075,Labor Relations Specialists,detailed,"63,810"
91,13-1080,Logisticians and Project Management Specialists,broad,"933,180"
92,13-1081,Logisticians,detailed,"189,320"
93,13-1082,Project Management Specialists,detailed,"743,860"
94,13-1110,Management Analysts,broad,"768,450"
95,13-1111,Management Analysts,detailed,"768,450"
96,13-1120,"Meeting, Convention, and Event Planners",broad,"98,150"
97,13-1121,"Meeting, Convention, and Event Planners",detailed,"98,150"
98,13-1130,Fundraisers,broad,"82,080"
99,13-1131,Fundraisers,detailed,"82,080"
100,13-1140,"Compensation, Benefits, and Job Analysis Specialists",broad,"87,750"
101,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,"87,750"
102,13-1150,Training and Development Specialists,broad,"336,030"
103,13-1151,Training and Development Specialists,detailed,"336,030"
104,13-1160,Market Research Analysts and Marketing Specialists,broad,"727,540"
105,13-1161,Market Research Analysts and Marketing Specialists,detailed,"727,540"
106,13-1190,Miscellaneous Business Operations Specialists,broad,"1,030,330"
107,13-1199,"Business Operations Specialists, All Other",detailed,"1,030,330"
108,13-2000,Financial Specialists,minor,"2,900,840"
109,13-2010,Accountants and Auditors,broad,"1,318,550"
110,13-2011,Accountants and Auditors,detailed,"1,318,550"
111,13-2020,Property Appraisers and Assessors,broad,"58,340"
112,13-2020,Property Appraisers and Assessors,detailed,"58,340"
113,13-2030,Budget Analysts,broad,"47,440"
114,13-2031,Budget Analysts,detailed,"47,440"
115,13-2040,Credit Analysts,broad,"68,770"
116,13-2041,Credit Analysts,detailed,"68,770"
117,13-2050,Financial Analysts and Advisors,broad,"716,930"
118,13-2051,Financial and Investment Analysts,detailed,"291,880"
119,13-2052,Personal Financial Advisors,detailed,"263,030"
120,13-2053,Insurance Underwriters,detailed,"107,690"
121,13-2054,Financial Risk Specialists,detailed,"54,320"
122,13-2060,Financial Examiners,broad,"60,750"
123,13-2061,Financial Examiners,detailed,"60,750"
124,13-2070,Credit Counselors and Loan Officers,broad,"371,400"
125,13-2071,Credit Counselors,detailed,"31,230"
126,13-2072,Loan Officers,detailed,"340,170"
127,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",broad,"135,460"
128,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,"52,270"
129,13-2082,Tax Preparers,detailed,"83,190"
130,13-2090,Miscellaneous Financial Specialists,broad,"123,200"
131,13-2099,"Financial Specialists, All Other",detailed,"123,200"
132,15-0000,Computer and Mathematical Occupations,major,"4,654,750"
133,15-1200,Computer Occupations,minor,"4,389,910"
134,15-1210,Computer and Information Analysts,broad,"662,370"
135,15-1211,Computer Systems Analysts,detailed,"505,150"
136,15-1212,Information Security Analysts,detailed,"157,220"
137,15-1220,Computer and Information Research Scientists,broad,"30,840"
138,15-1221,Computer and Information Research Scientists,detailed,"30,840"
139,15-1230,Computer Support Specialists,broad,"830,510"
140,15-1231,Computer Network Support Specialists,detailed,"176,200"
141,15-1232,Computer User Support Specialists,detailed,"654,310"
142,15-1240,Database and Network Administrators and Architects,broad,"621,900"
143,15-1241,Computer Network Architects,detailed,"168,830"
144,15-1242,Database Administrators,detailed,"85,870"
145,15-1243,Database Architects,detailed,"50,440"
146,15-1244,Network and Computer Systems Administrators,detailed,"316,760"
147,15-1250,"Software and Web Developers, Programmers, and Testers",broad,"1,874,100"
148,15-1251,Computer Programmers,detailed,"152,610"
149,15-1252,Software Developers,detailed,"1,364,180"
150,15-1253,Software Quality Assurance Analysts and Testers,detailed,"190,120"
151,15-1254,Web Developers,detailed,"84,820"
152,15-1255,Web and Digital Interface Designers,detailed,"82,380"
153,15-1290,Miscellaneous Computer Occupations,broad,"370,190"
154,15-1299,"Computer Occupations, All Other",detailed,"370,190"
155,15-2000,Mathematical Science Occupations,minor,"264,840"
156,15-2010,Actuaries,broad,"23,040"
157,15-2011,Actuaries,detailed,"23,040"
158,15-2020,Mathematicians,broad,"1,770"
159,15-2021,Mathematicians,detailed,"1,770"
160,15-2030,Operations Research Analysts,broad,"98,700"
161,15-2031,Operations Research Analysts,detailed,"98,700"
162,15-2040,Statisticians,broad,"31,370"
163,15-2041,Statisticians,detailed,"31,370"
164,15-2050,Data Scientists,broad,"105,980"
165,15-2051,Data Scientists,detailed,"105,980"
166,15-2090,Miscellaneous Mathematical Science Occupations,broad,"3,970"
167,15-2099,"Mathematical Science Occupations, All Other",detailed,"3,970"
168,17-0000,Architecture and Engineering Occupations,major,"2,436,520"
169,17-1000,"Architects, Surveyors, and Cartographers",minor,"176,840"
170,17-1010,"Architects, Except Naval",broad,"117,830"
171,17-1011,"Architects, Except Landscape and Naval",detailed,"100,400"
172,17-1012,Landscape Architects,detailed,"17,430"
173,17-1020,"Surveyors, Cartographers, and Photogrammetrists",broad,"59,000"
174,17-1021,Cartographers and Photogrammetrists,detailed,"12,610"
175,17-1022,Surveyors,detailed,"46,390"
176,17-2000,Engineers,minor,"1,631,080"
177,17-2010,Aerospace Engineers,broad,"56,640"
178,17-2011,Aerospace Engineers,detailed,"56,640"
179,17-2020,Agricultural Engineers,broad,"1,120"
