ID,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP
0,00-0000,All Occupations,total,"146,875,480"
1,11-0000,Management Occupations,major,"8,054,120"
2,11-1000,Top Executives,minor,"2,658,440"
3,11-1010,Chief Executives,broad,"205,890"
4,11-1011,Chief Executives,detailed,"205,890"
5,11-1020,General and Operations Managers,broad,"2,400,280"
6,11-1021,General and Operations Managers,detailed,"2,400,280"
7,11-1030,Legislators,broad,"52,280"
8,11-1031,Legislators,detailed,"52,280"
9,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,"770,540"
10,11-2010,Advertising and Promotions Managers,broad,"25,100"
11,11-2011,Advertising and Promotions Managers,detailed,"25,100"
12,11-2020,Marketing and Sales Managers,broad,"666,280"
13,11-2021,Marketing Managers,detailed,"263,680"
14,11-2022,Sales Managers,detailed,"402,600"
15,11-2030,Public Relations and Fundraising Managers,detailed,"79,160"
16,11-2030,Public Relations and Fundraising Managers,broad,"79,160"
17,11-3000,Operations Specialties Managers,minor,"1,996,160"
18,11-3010,Administrative Services and Facilities Managers,detailed,"307,280"
19,11-3010,Administrative Services and Facilities Managers,broad,"307,280"
20,11-3020,Computer and Information Systems Managers,broad,"433,960"
21,11-3021,Computer and Information Systems Managers,detailed,"433,960"
22,11-3030,Financial Managers,broad,"654,790"
23,11-3031,Financial Managers,detailed,"654,790"
24,11-3050,Industrial Production Managers,broad,"185,790"
25,11-3051,Industrial Production Managers,detailed,"185,790"
26,11-3060,Purchasing Managers,broad,"72,100"
27,11-3061,Purchasing Managers,detailed,"72,100"
28,11-3070,"Transportation, Storage, and Distribution Managers",broad,"132,040"
29,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"132,040"
30,11-3110,Compensation and Benefits Managers,broad,"16,900"
31,11-3111,Compensation and Benefits Managers,detailed,"16,900"
32,11-3120,Human Resources Managers,broad,"154,800"
33,11-3121,Human Resources Managers,detailed,"154,800"
34,11-3130,Training and Development Managers,broad,"38,510"
35,11-3131,Training and Development Managers,detailed,"38,510"
36,11-9000,Other Management Occupations,minor,"2,628,970"
